protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex
IGFALS,5,1.532666666667,0.09143626168990035,6,7,0.4666666666666667,1,1
IGFBP1,20,8.884000000001299,0.003177574417726995,21,21,0.1,0,0
IGFBP2,5,2.326333333334,0.029539975666531892,6,6,0.4,1,1
IGFBP3,16,7.961000000000001,0.039926575800530266,17,25,0.18382352941176472,1,1
IGFBP4,8,4.052,0.056590029061460066,9,11,0.3055555555555556,0,0
IGFBP5,13,6.819000000001,0.04899988369519753,14,20,0.21978021978021978,0,0
IGFBP6,7,1.7866666666670001,0.024153701669944128,8,8,0.2857142857142857,0,0
IGFBP7,10,4.536333333332999,0.00992225356916415,11,11,0.2,0,0
IGFN1,1,0.691666666667,0.0,2,1,1.0,0,0
IGH,3,0.0,0.0,4,3,0.5,0,0
IGHA1,47,11.542333333331598,0.000649441856825574,48,52,0.04609929078014184,0,0
IGHA2,29,7.2540000000006,0.0,30,30,0.06896551724137931,0,0
IGHE,2,0.727666666667,0.0,3,2,0.6666666666666666,0,0
IGHG1,50,16.1459999999986,0.029095070824767772,51,154,0.1207843137254902,0,0
IGHG2,39,14.510666666665598,0.008242662117547463,40,54,0.06923076923076923,0,0
IGHG3,10,1.6530000000010001,0.006735720805226468,11,11,0.2,0,0
IGHG4,6,0.9346666666663,0.03206282263620592,7,8,0.38095238095238093,0,0
IGHM,19,6.250333333333,0.045881369780953224,20,40,0.21052631578947367,2,1
IGHMBP2,17,6.726333333333001,0.027681581298991648,18,26,0.16993464052287582,0,0
IGHV1-2,1,0.0,0.0,2,1,1.0,0,0
IGHV1-46,1,0.0,0.0,2,1,1.0,0,0
IGHV1OR15-9,1,0.0,0.0,2,1,1.0,0,0
IGHV3-13,1,0.452666666667,0.0,2,1,1.0,0,0
IGHV3-23,3,1.26,0.12464213120454576,4,4,0.6666666666666666,0,0
IGHV3-30,1,0.450333333333,0.0,2,1,1.0,0,0
IGHV3-33,2,0.795666666667,0.4673136728439439,3,3,1.0,0,0
IGHV3-48,1,0.352,0.0,2,1,1.0,0,0
IGHV3-49,1,0.0,0.0,2,1,1.0,0,0
IGHV3OR15-7,9,0.0,0.0,10,42,0.9333333333333333,0,0
IGHV4-31,2,0.0,0.0,3,3,1.0,0,0
IGHV4OR15-8,2,0.0,0.0,3,3,1.0,0,0
IGIP,2,0.0,0.0,3,2,0.6666666666666666,0,0
IGJ,20,0.0,0.0,21,20,0.09523809523809523,0,0
IGKC,43,13.063666666666299,0.013308953971300353,44,92,0.09725158562367865,0,0
IGKV1-12,2,0.403,0.25467078746650984,3,3,1.0,0,0
IGKV1-27,1,0.0,0.0,2,1,1.0,0,0
IGKV1-5,6,2.177666666666,0.14504642357090874,7,11,0.5238095238095238,0,0
IGKV2-30,4,0.840333333333,0.13956201172091465,5,7,0.7,0,0
IGKV2-40,5,2.0893333333329998,0.13622403620682363,6,8,0.5333333333333333,0,0
IGKV2D-24,1,0.0,0.0,2,1,1.0,0,0
IGKV2D-29,2,0.0,0.0,3,2,0.6666666666666666,0,0
IGKV2D-40,3,0.0,0.0,4,4,0.6666666666666666,0,0
IGKV3-20,3,1.310333333333,0.0,4,3,0.5,0,0
IGKV4-1,3,0.943666666667,0.0,4,3,0.5,0,0
IGL,4,0.0,0.0,5,4,0.4,0,0
IGLC1,4,1.528333333333,0.07815375062710846,5,5,0.5,0,0
IGLC2,3,0.635,0.10446004616678688,4,5,0.8333333333333334,0,0
IGLC3,2,0.477333333333,0.0,3,2,0.6666666666666666,0,0
IGLC7,5,0.7029999999994,0.0,6,5,0.3333333333333333,0,0
IGLL1,3,0.4800000000007,0.0,4,3,0.5,1,1
IGLL5,24,2.6243333333312,0.005823824524244976,25,35,0.11666666666666667,0,0
IGLV2-14,2,0.618666666667,0.0,3,2,0.6666666666666666,0,0
IGLV3-21,1,0.415666666667,0.0,2,1,1.0,0,0
IGLV3-25,1,0.471,0.0,2,1,1.0,0,0
IGSF1,12,5.344,0.12073266046039743,13,28,0.358974358974359,0,0
IGSF10,2,0.5646666666667,0.0,3,2,0.6666666666666666,0,0
IGSF21,30,4.329333333333999,0.003191469452537877,31,36,0.07741935483870968,0,0
IGSF3,11,3.7449999999990005,0.005406694553973429,12,15,0.22727272727272727,0,0
