subgraph_id,source,label,num_nodes,num_edges,density,mean_degree,mean_strength,mean_clustering,num_connected_components,ph_num_nodes_used,ph_dim0_count,ph_dim0_finite_count,ph_dim0_mean_lifetime,ph_dim0_max_lifetime,ph_dim0_total_persistence,ph_dim1_count,ph_dim1_finite_count,ph_dim1_mean_lifetime,ph_dim1_max_lifetime,ph_dim1_total_persistence,ph_dim2_count,ph_dim2_finite_count,ph_dim2_mean_lifetime,ph_dim2_max_lifetime,ph_dim2_total_persistence,ph_dim1_landscape_l1,ph_dim1_landscape_max,distance_matrix_mean,distance_matrix_std,complex_group,size_bin,match_score,target_density,target_mean_degree,target_mean_strength
real_complex_40,real_complex,1,9.0,34.0,0.9444444444444444,7.555555555555555,6.462666666666445,0.8307208408773449,1.0,9,9.0,8.0,0.08720833482220769,0.13833333551883698,0.6976666785776615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17081481481483948,0.19891155122974608,group_40,large,,,,
real_complex_41,real_complex,1,5.0,7.0,0.7,2.8,1.9995999999999998,0.5537029598873929,1.0,5,5.0,4.0,0.2310000006109476,0.3386666774749756,0.9240000024437904,1.0,1.0,0.036666661500930786,0.036666661500930786,0.036666661500930786,0.0,0.0,0.0,0.0,0.0,1.3091975193364094,0.025670539594831558,0.40008000000000005,0.3629084767388359,group_41,medium,,,,
real_complex_42,real_complex,1,12.0,44.0,0.6666666666666666,7.333333333333333,5.6251111111115,0.6245376883673789,1.0,12,11.0,10.0,0.170666666328907,0.4606666564941406,1.7066666632890701,4.0,4.0,0.025083333253860474,0.08666667342185974,0.1003333330154419,0.0,0.0,0.0,0.0,0.0,3.12929073908393,0.06067583413809597,0.447907407407375,0.38604833311477266,group_42,large,,,,
real_complex_43,real_complex,1,13.0,47.0,0.6025641025641025,7.230769230769231,5.477589743590153,0.6086356405557971,1.0,13,12.0,11.0,0.17990908974950964,0.4606666564941406,1.978999987244606,4.0,4.0,0.025083333253860474,0.08666667342185974,0.1003333330154419,0.0,0.0,0.0,0.0,0.0,3.12929073908393,0.06067583413809597,0.5017238658776805,0.3976308818832814,group_43,large,,,,
real_complex_44,real_complex,1,4.0,4.0,0.6666666666666666,2.0,1.210833333333,0.5132309497325463,1.0,4,4.0,3.0,0.3822222252686818,0.43166667222976685,1.1466666758060455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44729166666675,0.35916374467102913,group_44,small,,,,
real_complex_45,real_complex,1,3.0,1.0,0.3333333333333333,0.6666666666666666,0.6264444444446667,0.0,2.0,3,3.0,2.0,0.5301666669547558,1.0,1.0603333339095116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45785185185177774,0.4854122369497705,group_45,small,,,,
real_complex_46,real_complex,1,10.0,37.0,0.8222222222222222,7.4,6.916533333333599,0.830812535366497,1.0,10,10.0,9.0,0.027703703795042302,0.056333333253860474,0.24933333415538073,3.0,3.0,0.010888886948426565,0.023666664958000183,0.032666660845279694,0.0,0.0,0.0,0.0,0.0,0.3947662319748195,0.016732525658945386,0.20834666666664003,0.3480230513438297,group_46,large,,,,
real_complex_47,real_complex,1,8.0,28.0,1.0,7.0,6.07291666666625,0.8661122577165834,1.0,8,7.0,6.0,0.06905555538833141,0.109333336353302,0.4143333323299885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11588541666671874,0.07877092355966932,group_47,medium,,,,
real_complex_48,real_complex,1,4.0,6.0,1.0,3.0,2.2346666666665,0.7939553523190541,1.0,4,4.0,3.0,0.1818888932466507,0.38466668128967285,0.5456666797399521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191333333333375,0.1638533388939074,group_48,small,,,,
real_complex_49,real_complex,1,3.0,3.0,1.0,2.0,1.649333333333333,0.9506996189386009,1.0,3,3.0,2.0,0.14733333140611649,0.16099999845027924,0.29466666281223297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11688888888888889,0.08921800183728272,group_49,small,,,,
